dist_m,curr_mA,n_exp,evm_pct_q50,snr_dB_q50,log_var_I_q50,log_var_Q_q50,kurt_I_q50,kurt_Q_q50,skew_I_q50,p_rx_sync_q50
0.8,100.0,1,15.19241973207634,16.36746099068866,-4.907014043824558,-4.907424859884801,-0.02469185294349563,-0.025352585126688254,0.004893560675290654,0.053498078137636185
0.8,200.0,1,11.961435243804381,18.4443341309201,-5.412546725809929,-5.410957295426662,0.09163980175684605,0.12574914650457103,0.001928478609522216,0.06303101032972336
0.8,300.0,1,12.155432529460112,18.30459165897041,-5.379374444735072,-5.3771938704398545,0.08214759667447025,0.0137688470320243,0.001270941027776951,0.0636168122291565
0.8,400.0,1,14.896317247413549,16.53842174157534,-4.948543338731677,-4.9491624066615145,-0.1324664324321927,-0.1278473027439504,0.003065870301573211,0.05326998978853226
0.8,500.0,1,18.16415563649455,14.815695711526695,-4.539263015847819,-4.538439230111391,-0.355888736853462,-0.3514610190048648,-0.0029222918814282507,0.04791535437107086
0.8,600.0,1,21.54163044648745,13.334428576828806,-4.189286591691918,-4.189056213620869,-0.5213510073043284,-0.5182316394827295,0.0016115930370472925,0.04334099963307381
0.8,700.0,1,23.93593902041501,12.418990604597248,-3.9726876656125305,-3.974546784660129,-0.599645256675656,-0.5914125005694335,0.0009665683372653839,0.04057784751057625
0.8,800.0,1,25.09385097490971,12.008653709684978,-3.878972491218158,-3.8773579119016377,-0.6122623640134508,-0.6166008994164485,-0.0032968945219959997,0.03936237841844559
0.8,900.0,1,27.62493101658204,11.173975956022753,-3.6837503960012765,-3.6812816381627,-0.6736813342017025,-0.6771725865611429,0.0013771361303375434,0.03664746135473251
1.0,100.0,1,42.411742395923845,7.450277702236681,-2.8176812581947197,-2.8192202598360003,-0.8068159907420749,-0.8076060394040638,-8.065847326475958e-05,0.02326824702322483
1.0,200.0,1,36.44032586414615,8.76835496089201,-3.1242840787646,-3.1229842575160025,-0.7998729260096265,-0.8029968468258373,0.0018827486430162668,0.028255481272935867
1.0,300.0,1,38.4936131192826,8.292226457701947,-3.014242463101611,-3.0124196590814196,-0.8293739786835372,-0.8288166913583055,-0.000946899832933765,0.0264209546148777
1.0,400.0,1,38.79366983312152,8.224782694729159,-2.9994816536809665,-2.998676786865253,-0.8209619441972102,-0.8217696760397923,0.0015113866989470406,0.026250086724758148
1.0,500.0,1,41.11176434087839,7.720677695205216,-2.8798837570954623,-2.882035307650301,-0.8427295433817021,-0.8401128552509749,0.00015015590080595139,0.024354292079806328
1.0,600.0,1,44.97077917779898,6.941391752894241,-2.701820782149879,-2.7010008329166846,-0.8697379946871244,-0.8727707098227415,-0.002111679236552404,0.021246541291475296
1.0,700.0,1,48.40457283925641,6.3022721617213575,-2.554396757813318,-2.5530911217185372,-0.8924578633915963,-0.8939300617268526,-9.064894218253875e-05,0.018695738166570663
1.0,800.0,1,50.46577081239606,5.940061779230893,-2.4682487700483837,-2.471446253476092,-0.9029895684387945,-0.9028238655943253,-0.00035476820977319815,0.01729417033493519
1.0,900.0,1,52.39709147816289,5.613856393929314,-2.393594684979748,-2.3948595737798906,-0.9095311478550303,-0.9099314098638143,-0.0006603459831859922,0.01604580692946911
1.5,100.0,1,73.37452715530047,2.6890936888574117,-1.7204645545189763,-1.7197271393859874,-0.9338666266056515,-0.9331898524250097,-0.0007001682428912806,0.005746355280280113
1.5,200.0,1,70.36566304903515,3.05278431323519,-1.8040582752094603,-1.8019664736601861,-0.9437581888667679,-0.946182859038613,-2.7236406213459457e-05,0.006874482613056898
1.5,300.0,1,70.8996027515483,2.987123962994196,-1.7877130400179213,-1.7871394923320918,-0.9483043049269955,-0.9447113284455737,-0.00023155095629002253,0.00668880483135581
1.5,400.0,1,72.1286490114493,2.837844043670583,-1.751891245115445,-1.752778139992986,-0.9511804788054126,-0.9485108623943348,-0.0032864306653717116,0.006205987185239792
1.5,500.0,1,73.53492304802404,2.670127154380029,-1.7152781066154854,-1.7152865691635804,-0.9495592078691502,-0.948534799143959,0.0021353949716548374,0.005676999222487211
1.5,600.0,1,74.75457049684469,2.5272449882637575,-1.681397526822208,-1.682517760881879,-0.9522069706361598,-0.95040536746327,0.001714597651447186,0.0052420529536902905
1.5,700.0,1,75.83838525638161,2.4022184505593054,-1.654372352578387,-1.6519714304848685,-0.9535132286750221,-0.9580235866043254,0.00037582152102907127,0.004897059872746468
1.5,800.0,1,76.62404005185478,2.31269906586048,-1.6325450568382058,-1.6324558977983554,-0.9566399798539593,-0.9555473733505724,-0.00019368400474931098,0.00464730616658926
1.5,900.0,1,77.29200553906553,2.237308473462401,-1.6166371550720962,-1.6136593243943345,-0.9528630076260702,-0.9564661790331708,-3.201908739155391e-05,0.004457744769752026
